,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,lat,lng,pca_x,pca_y,cluster
2195,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1617,9,B3,454 VAN BUREN STREET,11221,2,0,2,2000,2160,1899,1,B3,1390000,40.69150462,-73.93018907,-3.0091063574047987,-0.3031818257909489,9
7254,Queens,Ridgewood,07 RENTALS - WALKUP APARTMENTS             ,2A,3437,23,C2,1734 BLEECKER STREET,11385,6,0,6,2500,4875,1930,2,C2,1586943,40.70422595,-73.91209642,1.6897914187783678,-1.041980393674891,5
714,Manhattan,Upper West Side (79-96),07 RENTALS - WALKUP APARTMENTS             ,2B,1210,4,C7,407 AMSTERDAM AVENUE,10024,8,1,9,2125,8125,1900,2,C7,5275000,40.78346063,-73.97805617,5.154874987915755,-0.24043643204237974,9
6066,Brooklyn,Wyckoff Heights,03 THREE FAMILY DWELLINGS                  ,1,3386,3,C0,445 IRVING AVENUE,11237,3,0,3,1900,3300,1905,1,C0,10,40.69599007,-73.90901755,-2.0212656396953363,-0.9681414850850941,1
5735,Brooklyn,Sheepshead Bay,21 OFFICE BUILDINGS                        ,4,7421,6,O7,1916-1930 AVENUE X,11235,0,9,9,8272,12080,1981,4,O7,5300000,40.59268259,-73.95038902,1.7348886739272638,10.889742159435482,2
2142,Brooklyn,Bay Ridge,14 RENTALS - 4-10 UNIT                     ,2A,5874,1,S9,6929 5 AVENUE,11209,2,2,4,2580,4500,1931,2,S9,2600000,40.63273444,-74.02125977,-1.6742982291044106,1.4336722182454151,11
5775,Brooklyn,Sunset Park,02 TWO FAMILY DWELLINGS                    ,1,768,22,B1,740 47TH   STREET,11220,2,0,2,2012,2120,1930,1,B1,990000,40.64347996,-74.00316659,-3.101908389684439,-0.3982283832078838,8
5156,Brooklyn,Midwood,22 STORE BUILDINGS                         ,4,6776,43,K4,1309 KINGS HIGHWAY,11229,0,3,3,1616,5296,1925,4,K4,443119,40.60820337,-73.95964435,-3.8372388173944665,1.3294970452992845,2
1199,Bronx,Kingsbridge Hts/Univ Hts,02 TWO FAMILY DWELLINGS                    ,1,3228,76,B1,1923 HENNESSY PLACE,10453,2,0,2,2805,3168,1910,1,B1,422000,40.85495847,-73.91523411,-2.67651051464258,0.39452174913426025,5
4646,Brooklyn,Flatbush-Lefferts Garden,02 TWO FAMILY DWELLINGS                    ,1,5043,49,S2,560 ROGERS AVENUE,11225,2,1,3,1558,4830,1930,1,S2,850000,40.65816278,-73.95330778,-2.387899103373273,0.0817132875954563,11
102,Manhattan,Gramercy,07 RENTALS - WALKUP APARTMENTS             ,2A,898,7,C9,205 EAST 17TH   STREET,10003,4,1,5,2116,6932,1920,2,C9,8700000,40.73501613,-73.98526084,1.5077868578794498,2.4994287685193326,4
6564,Queens,Far Rockaway,03 THREE FAMILY DWELLINGS                  ,1,15808,29,C0,199 BEACH 29 STREET,11691,3,0,3,1574,3000,2004,1,C0,512500,40.59472991,-73.76193781,-2.1769573998974834,-1.0949978222919434,2
960,Bronx,Belmont,07 RENTALS - WALKUP APARTMENTS             ,2A,3091,96,C2,705 EAST 189 STREET,10458,6,0,6,1900,4125,1931,2,C2,850000,40.85620937,-73.88313513,1.2501473686424116,-1.987565808051664,1
4166,Brooklyn,East New York,02 TWO FAMILY DWELLINGS                    ,1,4053,26,B1,286 BERRIMAN STREET,11208,2,0,2,1600,2080,1901,1,B1,257500,40.67148798,-73.87923822,-3.330999915743498,-0.9992382481930988,0
5584,Brooklyn,Park Slope South,02 TWO FAMILY DWELLINGS                    ,1,1052,65,B3,221A PROSPECT AVENUE,11215,2,0,2,2096,2304,1899,1,B3,999999,40.66463518,-73.99123003,-3.013617981520175,-0.29601209127117434,4
5178,Brooklyn,Ocean Hill,01 ONE FAMILY DWELLINGS                    ,1,1560,12,A5,13A DEWEY PLACE,11233,1,0,1,1463,1625,1910,1,A5,740000,40.67772978,-73.9181438,-4.375571154295391,-0.5818861142729453,3
